"index","job","housing_loan","personal_loan","credit_default","balance"
34077,"management","yes","no","no",257
34078,"blue-collar","no","no","no",6112
34079,"retired","no","no","no",1947
34080,"technician","no","no","no",2408
34081,"admin.","no","no","no",35
34082,"management","yes","no","no",393
34083,"unemployed","yes","no","no",687
34084,"student","no","no","no",2354
34085,"services","no","no","no",618
34086,"blue-collar","no","no","no",2105
34087,"student","no","no","no",3054
34088,"unemployed","no","no","no",142
34089,"student","no","no","no",1608
34090,"management","no","no","no",5341
34091,"blue-collar","no","no","no",1319
34092,"housemaid","no","no","no",11632
34093,"unemployed","no","no","no",775
34094,"entrepreneur","no","no","no",30
34095,"management","no","no","no",699
34096,"blue-collar","yes","no","no",3342
34097,"management","no","no","no",495
34098,"entrepreneur","no","no","no",5802
34099,"technician","no","no","no",598
34100,"blue-collar","no","no","no",3585
34101,"blue-collar","yes","no","no",2749
34102,"management","no","no","no",436
34103,"management","yes","no","no",527
34104,"student","no","no","no",2503
34105,"management","no","no","no",1162
34106,"technician","no","no","no",766
34107,"management","yes","no","no",0
34108,"technician","no","no","no",776
34109,"management","no","yes","no",1014
34110,"retired","yes","yes","no",919
34111,"admin.","no","no","no",1226
34112,"technician","yes","no","no",865
34113,"management","no","no","no",1619
34114,"blue-collar","yes","no","no",298
34115,"admin.","no","no","no",1119
34116,"blue-collar","yes","no","no",4389
34117,"admin.","yes","no","no",1316
34118,"housemaid","no","no","no",2990
34119,"blue-collar","no","no","no",630
34120,"student","no","no","no",25
34121,"technician","no","no","no",3020
34122,"management","yes","no","no",71
34123,"admin.","no","no","no",139
34124,"management","yes","no","no",620
34125,"admin.","no","no","no",2816
34126,"blue-collar","yes","no","no",2173
34127,"technician","no","no","no",507
34128,"retired","no","no","no",98
34129,"management","no","no","no",4539
34130,"technician","yes","no","no",3914
34131,"management","yes","no","no",-308
34132,"student","no","no","no",1281
34133,"technician","yes","yes","no",-288
34134,"technician","yes","no","no",1105
34135,"blue-collar","yes","yes","no",3297
34136,"admin.","yes","no","no",206
34137,"admin.","yes","no","no",1435
34138,"housemaid","no","no","no",182
34139,"services","no","no","no",478
34140,"technician","yes","no","no",1660
34141,"management","yes","yes","no",2957
34142,"management","no","no","no",2753
34143,"management","no","no","no",0
34144,"technician","yes","no","no",89
34145,"blue-collar","no","no","no",498
34146,"technician","yes","no","no",565
34147,"blue-collar","no","no","no",700
34148,"management","yes","no","no",4152
34149,"management","no","no","no",697
34150,"retired","no","no","no",927
34151,"management","yes","no","no",0
34152,"admin.","no","no","no",286
34153,"management","yes","no","no",1388
34154,"management","no","no","no",27696
34155,"management","no","no","no",30
34156,"unemployed","no","no","no",486
34157,"admin.","no","no","no",2252
34158,"technician","no","no","no",454
34159,"admin.","no","no","no",4041
34160,"technician","no","no","no",0
34161,"technician","no","no","no",0
34162,"management","no","no","no",36686
34163,"admin.","no","no","no",728
34164,"management","no","no","no",354
34165,"technician","yes","no","no",1246
34166,"services","no","no","no",307
34167,"management","no","no","no",3047
34168,"housemaid","no","no","no",0
34169,"student","no","no","no",382
34170,"management","yes","no","no",36252
34171,"admin.","no","no","no",73
34172,"management","no","no","no",158
34173,"self-employed","no","no","no",553
34174,"self-employed","no","no","no",68
34175,"blue-collar","yes","yes","no",734
34176,"admin.","no","no","no",305
34177,"student","no","no","no",160
34178,"self-employed","no","no","no",263
34179,"management","no","no","no",350
34180,"student","no","no","no",0
34181,"self-employed","no","no","no",219
34182,"blue-collar","no","no","no",10252
34183,"technician","no","no","no",6101
34184,"management","no","no","no",3141
34185,"student","no","no","no",1854
34186,"technician","yes","no","no",1228
34187,"management","yes","no","no",1356
34188,"blue-collar","no","no","no",1723
34189,"student","no","no","no",1444
34190,"technician","yes","no","no",1511
34191,"management","no","no","no",7780
34192,"management","no","no","no",130
34193,"technician","yes","no","no",1646
34194,"management","no","no","no",1277
34195,"management","yes","no","no",1058
34196,"unemployed","no","no","no",236
34197,"management","no","no","no",5437
34198,"services","no","no","no",125
34199,"technician","no","no","no",133
34200,"management","no","no","no",2333
34201,"management","no","no","no",1446
34202,"technician","yes","no","no",992
34203,"admin.","no","no","no",140
34204,"student","no","no","no",292
34205,"blue-collar","yes","no","no",640
34206,"management","yes","no","no",417
34207,"management","yes","no","no",1270
34208,"student","no","no","no",253
34209,"blue-collar","no","no","no",5060
34210,"technician","yes","no","no",902
34211,"technician","no","no","no",335
34212,"admin.","no","no","no",4519
34213,"management","no","no","no",1
34214,"management","yes","no","no",14
34215,"services","no","no","no",365
34216,"technician","yes","yes","no",911
34217,"entrepreneur","yes","no","no",20453
34218,"admin.","yes","no","no",1451
34219,"student","no","no","no",0
34220,"technician","yes","no","no",1636
34221,"services","yes","no","no",256
34222,"admin.","no","no","no",3620
34223,"services","yes","yes","no",642
34224,"blue-collar","yes","no","no",-388
34225,"admin.","no","no","no",3221
34226,"blue-collar","yes","no","no",1984
34227,"management","no","no","no",630
34228,"management","yes","no","no",220
34229,"blue-collar","yes","no","no",0
34230,"unemployed","no","no","no",94
34231,"admin.","no","yes","no",69
34232,"admin.","yes","no","no",897
34233,"housemaid","no","no","no",2580
34234,"technician","no","no","no",316
34235,"technician","yes","no","no",2044
34236,"services","yes","no","no",8947
34237,"services","no","no","no",8876
34238,"student","no","no","no",214
34239,"management","no","no","no",672
34240,"services","no","no","no",4958
34241,"technician","no","no","no",557
34242,"unemployed","yes","no","no",977
34243,"services","yes","no","no",489
34244,"retired","no","no","no",696
34245,"admin.","no","no","no",738
34246,"student","no","no","no",1138
34247,"blue-collar","yes","no","no",4236
34248,"management","yes","no","no",1
34249,"blue-collar","yes","no","no",863
34250,"student","no","no","no",891
34251,"management","yes","no","no",428
34252,"blue-collar","yes","no","no",1133
34253,"admin.","yes","no","no",563
34254,"technician","yes","no","no",5731
34255,"admin.","yes","no","no",1842
34256,"management","yes","no","no",2187
34257,"blue-collar","yes","no","no",-65
34258,"management","no","no","no",2010
34259,"management","no","no","no",10907
34260,"management","no","no","no",6495
34261,"admin.","no","yes","no",160
34262,"admin.","no","no","no",1536
34263,"admin.","no","no","no",10354
34264,"management","no","no","no",451
34265,"management","yes","no","no",4683
34266,"student","no","no","no",1925
34267,"management","no","no","no",1876
34268,"management","no","no","no",346
34269,"management","no","no","no",298
34270,"retired","no","no","no",606
34271,"student","yes","no","no",41
34272,"self-employed","no","no","no",1153
34273,"blue-collar","yes","no","no",218
34274,"services","yes","no","no",2083
34275,"technician","yes","no","no",282
34276,"self-employed","no","no","no",1813
34277,"blue-collar","yes","yes","no",-208
34278,"blue-collar","yes","no","no",72
34279,"self-employed","yes","yes","no",188
34280,"blue-collar","yes","no","no",1354
34281,"student","no","no","no",5368
34282,"admin.","yes","no","no",661
34283,"unemployed","yes","no","no",356
34284,"admin.","yes","no","no",4984
34285,"management","no","no","no",3421
34286,"management","no","no","no",11278
34287,"management","yes","yes","no",2
34288,"student","no","no","no",0
34289,"blue-collar","yes","no","no",296
34290,"technician","no","no","no",1998
34291,"management","yes","no","no",520
34292,"services","yes","no","no",17
34293,"unemployed","no","no","no",850
34294,"blue-collar","yes","yes","no",5151
34295,"management","no","yes","no",678
34296,"management","yes","no","no",6368
34297,"management","no","no","no",2480
34298,"management","yes","no","no",2458
34299,"entrepreneur","yes","no","no",572
34300,"management","yes","no","no",0
34301,"management","no","no","no",415
34302,"technician","no","no","no",876
34303,"management","no","no","no",93
34304,"blue-collar","yes","no","no",2939
34305,"technician","no","no","no",945
34306,"self-employed","yes","no","no",349
34307,"self-employed","no","no","no",2666
34308,"technician","yes","no","no",4182
34309,"management","yes","no","no",141
34310,"blue-collar","no","no","no",551
34311,"technician","yes","no","no",280
34312,"management","yes","no","no",308
34313,"self-employed","no","no","no",3271
34314,"management","yes","no","no",775
34315,"unemployed","no","no","no",207
34316,"self-employed","yes","no","no",163
34317,"management","yes","no","no",1515
34318,"management","no","no","no",3658
34319,"admin.","no","no","no",99
34320,"technician","yes","no","no",538
34321,"technician","no","no","no",112
34322,"blue-collar","yes","no","no",803
34323,"blue-collar","no","no","no",119
34324,"blue-collar","yes","no","no",3817
34325,"technician","yes","no","no",636
34326,"student","no","no","no",82
34327,"admin.","no","no","no",115
34328,"self-employed","no","no","no",1049
34329,"blue-collar","yes","no","yes",-148
34330,"technician","no","yes","no",1199
34331,"entrepreneur","yes","no","no",1076
34332,"blue-collar","no","no","no",400
34333,"blue-collar","yes","no","no",104
34334,"management","no","no","no",0
34335,"management","yes","no","no",2454
34336,"management","no","no","no",533
34337,"management","no","no","no",2352
34338,"management","yes","no","no",11
34339,"retired","no","no","no",9367
34340,"retired","no","no","no",1458
34341,"management","no","no","no",10884
34342,"technician","no","no","no",4056
34343,"blue-collar","yes","no","no",369
34344,"admin.","yes","no","no",47
34345,"admin.","yes","no","no",1313
34346,"management","yes","no","no",12857
34347,"management","yes","no","no",3850
34348,"entrepreneur","no","no","no",0
34349,"student","no","no","no",782
34350,"technician","yes","no","no",237
34351,"management","no","no","no",1168
34352,"student","no","no","no",444
34353,"management","yes","no","no",334
34354,"blue-collar","no","no","no",3776
34355,"technician","no","no","no",318
34356,"management","no","no","no",201
34357,"unemployed","no","no","no",476
34358,"management","yes","yes","no",953
34359,"management","no","no","no",9407
34360,"management","no","no","no",2152
34361,"student","no","no","no",387
34362,"unemployed","no","no","no",715
34363,"blue-collar","no","no","no",315
34364,"technician","yes","no","no",11766
34365,"student","no","no","no",203
34366,"entrepreneur","no","no","no",2971
34367,"technician","no","no","no",1103
34368,"management","no","no","no",202
34369,"admin.","no","no","no",690
34370,"management","yes","no","no",0
34371,"admin.","no","no","no",677
34372,"technician","no","no","no",2643
34373,"management","no","no","no",2360
34374,"services","yes","yes","no",1227
34375,"management","no","no","no",1956
34376,"student","yes","yes","no",4923
34377,"blue-collar","yes","no","no",698
34378,"technician","yes","no","no",9154
34379,"management","no","no","no",88
34380,"technician","yes","no","no",4047
34381,"blue-collar","no","no","no",261
34382,"blue-collar","yes","no","no",668
34383,"technician","no","no","no",2107
34384,"management","yes","no","no",17946
34385,"student","no","no","no",0
34386,"management","no","no","no",388
34387,"admin.","yes","yes","no",236
34388,"technician","no","no","no",2443
34389,"management","no","yes","no",3317
34390,"management","no","no","no",311
34391,"retired","no","no","no",514
34392,"student","yes","no","no",200
34393,"management","no","no","no",2613
34394,"student","no","no","no",130
34395,"management","no","no","no",5041
34396,"management","no","no","no",3082
34397,"blue-collar","yes","no","no",61
34398,"management","yes","no","no",62
34399,"blue-collar","yes","yes","no",4229
34400,"blue-collar","yes","no","no",6212
34401,"admin.","yes","no","no",2086
34402,"blue-collar","no","no","no",3027
34403,"admin.","yes","no","no",148
34404,"unemployed","yes","no","no",156
34405,"blue-collar","yes","no","no",233
34406,"blue-collar","yes","no","no",5872
34407,"admin.","yes","yes","no",1320
34408,"management","no","no","no",808
34409,"unemployed","yes","no","no",431
34410,"services","yes","no","no",288
34411,"blue-collar","yes","yes","no",-289
34412,"services","yes","no","no",859
34413,"management","yes","no","no",1373
34414,"management","yes","no","no",535
34415,"blue-collar","yes","no","yes",-947
34416,"technician","yes","no","no",16
34417,"blue-collar","yes","no","no",195
34418,"blue-collar","yes","no","no",6
34419,"technician","yes","no","no",-582
34420,"admin.","yes","no","no",2133
34421,"entrepreneur","yes","no","no",1390
34422,"blue-collar","yes","no","no",931
34423,"blue-collar","yes","no","no",524
34424,"management","no","no","no",26575
34425,"admin.","yes","no","no",1537
34426,"student","yes","no","no",290
34427,"admin.","yes","no","no",346
34428,"management","yes","no","no",-246
34429,"blue-collar","yes","no","no",113
34430,"entrepreneur","yes","yes","no",2
34431,"management","yes","no","no",4758
34432,"technician","yes","no","no",174
34433,"technician","yes","yes","no",330
34434,"management","yes","no","no",1514
34435,"entrepreneur","yes","no","no",212
34436,"services","yes","no","no",0
34437,"blue-collar","yes","no","no",640
34438,"unemployed","yes","no","no",0
34439,"services","yes","no","no",-72
34440,"technician","yes","yes","no",994
34441,"admin.","yes","no","no",0
34442,"services","yes","no","no",443
34443,"management","yes","no","no",4116
34444,"management","yes","no","no",1184
34445,"management","yes","yes","yes",10
34446,"blue-collar","yes","yes","no",734
34447,"technician","no","no","no",3628
34448,"management","yes","yes","no",170
34449,"management","yes","no","no",0
34450,"entrepreneur","yes","no","no",321
34451,"services","yes","yes","no",5766
34452,"self-employed","yes","no","no",0
34453,"blue-collar","yes","yes","no",80
34454,"blue-collar","yes","no","no",206
34455,"admin.","yes","no","no",46
34456,"services","yes","no","no",-111
34457,"housemaid","yes","no","no",4537
34458,"management","yes","no","no",710
34459,"management","yes","no","no",2894
34460,"self-employed","no","no","no",3363
34461,"admin.","yes","yes","no",0
34462,"admin.","yes","no","no",-386
34463,"admin.","yes","no","no",2889
34464,"blue-collar","yes","yes","no",80
34465,"management","yes","no","no",112
34466,"blue-collar","yes","no","no",378
34467,"services","yes","no","no",-368
34468,"services","yes","no","no",4430
34469,"management","yes","no","no",0
34470,"technician","yes","no","no",431
34471,"admin.","yes","no","no",12
34472,"management","yes","no","no",2625
34473,"technician","yes","no","no",726
34474,"management","yes","no","no",1272
34475,"student","yes","no","no",188
34476,"admin.","yes","no","no",151
34477,"admin.","yes","no","no",576
34478,"blue-collar","no","no","no",130
34479,"admin.","yes","no","no",3145
34480,"blue-collar","yes","no","no",767
34481,"management","yes","no","no",1
34482,"self-employed","yes","no","no",513
34483,"blue-collar","yes","no","no",61
34484,"blue-collar","yes","no","no",147
34485,"technician","yes","yes","no",258
34486,"blue-collar","yes","no","no",288
34487,"admin.","yes","no","no",0
34488,"blue-collar","yes","no","no",537
34489,"admin.","yes","no","no",3854
34490,"blue-collar","yes","no","no",0
34491,"technician","yes","yes","no",52
34492,"management","yes","no","no",0
34493,"management","yes","no","no",2549
34494,"admin.","yes","yes","no",2160
34495,"blue-collar","no","no","no",714
34496,"admin.","yes","no","no",561
34497,"admin.","yes","no","no",930
34498,"management","yes","yes","no",784
34499,"self-employed","yes","no","no",721
34500,"management","yes","no","no",630
34501,"technician","yes","no","no",271
34502,"unemployed","yes","yes","no",0
34503,"blue-collar","yes","no","no",336
34504,"retired","yes","no","no",0
34505,"admin.","yes","no","no",6
34506,"admin.","yes","no","no",191
34507,"services","yes","no","no",33
34508,"admin.","yes","no","no",1141
34509,"student","yes","no","no",2572
34510,"student","yes","no","no",562
34511,"management","yes","no","no",0
34512,"blue-collar","yes","yes","no",579
34513,"blue-collar","yes","no","no",1073
34514,"unemployed","yes","no","no",268
34515,"services","yes","no","no",726
34516,"services","yes","no","no",572
34517,"management","yes","no","no",658
34518,"admin.","no","no","no",10177
34519,"blue-collar","yes","no","no",23
34520,"management","yes","no","no",2311
34521,"blue-collar","yes","yes","no",-16
34522,"admin.","yes","yes","no",182
34523,"technician","yes","no","no",237
34524,"blue-collar","yes","no","no",0
34525,"entrepreneur","yes","no","no",121
34526,"management","yes","no","no",0
34527,"blue-collar","yes","no","no",0
34528,"technician","yes","yes","no",54
34529,"admin.","yes","no","no",30
34530,"unemployed","yes","no","no",-503
34531,"self-employed","yes","no","no",210
34532,"student","no","no","no",547
34533,"blue-collar","yes","no","no",203
34534,"services","yes","no","no",187
34535,"technician","yes","no","yes",-368
34536,"blue-collar","yes","no","no",1022
34537,"management","no","no","no",188
34538,"entrepreneur","yes","yes","no",376
34539,"admin.","yes","no","no",2
34540,"entrepreneur","yes","yes","no",77
34541,"technician","yes","no","no",1996
34542,"technician","yes","no","no",1833
34543,"management","yes","no","no",6392
34544,"blue-collar","yes","no","no",2829
34545,"technician","yes","no","no",740
34546,"technician","yes","yes","no",18
34547,"blue-collar","yes","no","no",2032
34548,"management","no","no","no",6
34549,"technician","yes","no","no",632
34550,"retired","yes","no","no",0
34551,"management","yes","no","no",1
34552,"admin.","yes","no","no",1371
34553,"technician","yes","no","no",47
34554,"management","yes","no","no",451
34555,"admin.","yes","no","no",-513
34556,"blue-collar","yes","no","no",411
34557,"management","yes","no","no",668
34558,"services","yes","no","no",0
34559,"technician","yes","yes","no",75
34560,"housemaid","yes","yes","no",1372
34561,"blue-collar","no","no","no",2598
34562,"management","yes","no","no",0
34563,"self-employed","yes","yes","no",112
34564,"blue-collar","yes","no","no",257
34565,"blue-collar","yes","no","no",196
34566,"blue-collar","yes","no","no",253
34567,"management","yes","no","no",3718
34568,"blue-collar","yes","no","no",1
34569,"blue-collar","yes","no","no",0
34570,"admin.","yes","no","no",517
34571,"blue-collar","no","no","no",1590
34572,"entrepreneur","yes","no","no",178
34573,"services","yes","no","no",197
34574,"services","yes","no","no",253
34575,"self-employed","yes","no","no",94
34576,"management","yes","no","no",12686
34577,"blue-collar","yes","no","no",393
34578,"blue-collar","yes","no","no",350
34579,"blue-collar","yes","no","no",-25
34580,"management","yes","no","no",130
34581,"technician","yes","no","no",232
34582,"admin.","yes","no","no",782
34583,"blue-collar","yes","no","no",-301
34584,"services","yes","yes","no",255
34585,"services","yes","no","no",0
34586,"services","yes","no","no",3677
34587,"admin.","yes","no","no",98
34588,"management","yes","no","no",121
34589,"entrepreneur","yes","no","no",3921
34590,"management","yes","no","no",1133
34591,"admin.","yes","no","no",258
34592,"blue-collar","yes","no","no",617
34593,"admin.","yes","no","no",-11
34594,"blue-collar","yes","no","no",108
34595,"blue-collar","yes","yes","no",992
34596,"admin.","yes","no","no",0
34597,"management","yes","no","no",1649
34598,"blue-collar","yes","no","no",169
34599,"admin.","yes","yes","no",1
34600,"technician","no","no","no",75
34601,"blue-collar","yes","no","no",-441
34602,"unemployed","no","no","no",0
34603,"management","yes","yes","no",11
34604,"management","yes","no","no",1432
34605,"admin.","yes","no","no",686
34606,"management","yes","no","no",0
34607,"self-employed","no","no","no",280
34608,"technician","yes","no","no",3043
34609,"blue-collar","yes","no","no",-738
34610,"services","yes","no","no",731
34611,"management","yes","no","no",-100
34612,"blue-collar","yes","no","no",415
34613,"technician","yes","no","no",-258
34614,"services","yes","no","no",3
34615,"services","yes","no","no",1239
34616,"admin.","yes","no","no",0
34617,"blue-collar","yes","no","no",38
34618,"technician","yes","no","no",170
34619,"blue-collar","yes","yes","no",-755
34620,"services","yes","no","no",-258
34621,"admin.","yes","no","no",33
34622,"entrepreneur","yes","no","no",0
34623,"technician","no","no","no",57
34624,"entrepreneur","no","no","no",0
34625,"services","yes","no","no",343
34626,"management","yes","no","no",224
34627,"management","no","no","no",76
34628,"technician","yes","no","no",89
34629,"admin.","yes","no","no",-273
34630,"services","yes","yes","no",171
34631,"technician","yes","no","no",1480
34632,"technician","yes","no","no",-463
34633,"blue-collar","no","no","no",0
34634,"admin.","yes","no","no",-298
34635,"management","yes","no","no",218
34636,"technician","yes","no","no",784
34637,"services","yes","yes","no",0
34638,"management","yes","no","no",326
34639,"admin.","yes","no","no",769
34640,"services","yes","no","no",122
34641,"services","yes","no","no",-395
34642,"entrepreneur","yes","no","no",2159
34643,"blue-collar","yes","no","no",290
34644,"student","yes","no","no",293
34645,"admin.","yes","no","no",-582
34646,"technician","yes","no","no",0
34647,"services","yes","yes","no",27
34648,"blue-collar","yes","no","no",716
34649,"management","yes","no","no",7620
34650,"management","yes","no","no",1217
34651,"services","yes","yes","no",-626
34652,"admin.","yes","no","no",676
34653,"admin.","yes","no","no",251
34654,"management","yes","no","no",4761
34655,"blue-collar","yes","no","no",9328
34656,"services","yes","no","no",0
34657,"management","yes","no","no",8339
34658,"management","yes","no","no",6432
34659,"admin.","yes","no","no",368
34660,"admin.","yes","no","no",0
34661,"blue-collar","yes","no","no",5314
34662,"management","yes","yes","no",0
34663,"blue-collar","yes","no","no",6352
34664,"services","yes","no","no",6
34665,"technician","yes","no","no",345
34666,"admin.","yes","no","no",176
34667,"blue-collar","yes","yes","no",2345
34668,"housemaid","yes","no","no",738
34669,"management","yes","no","no",914
34670,"technician","yes","yes","no",-522
34671,"student","no","no","no",703
34672,"services","yes","no","no",67
34673,"admin.","yes","yes","no",341
34674,"technician","yes","no","no",104
34675,"student","no","no","no",291
34676,"technician","yes","no","no",103
34677,"blue-collar","yes","yes","no",519
34678,"technician","yes","no","no",221
34679,"blue-collar","yes","yes","no",565
34680,"management","yes","no","no",8564
34681,"admin.","yes","no","no",1286
34682,"blue-collar","yes","no","no",2152
34683,"retired","no","no","no",0
34684,"admin.","yes","no","no",805
34685,"management","yes","no","no",906
34686,"blue-collar","yes","no","no",-111
34687,"technician","yes","no","no",305
34688,"services","yes","no","no",241
34689,"blue-collar","yes","no","no",34
34690,"admin.","yes","no","no",3160
34691,"services","yes","yes","no",6
34692,"services","yes","no","no",2618
34693,"services","yes","no","no",129
34694,"management","yes","no","no",0
34695,"management","yes","no","no",176
34696,"technician","yes","no","no",4888
34697,"blue-collar","yes","no","no",440
34698,"management","yes","no","no",61
34699,"management","yes","no","no",2799
34700,"services","yes","no","no",394
34701,"technician","yes","no","no",513
34702,"blue-collar","yes","yes","no",253
34703,"technician","yes","yes","no",75
34704,"admin.","yes","no","no",1993
34705,"admin.","yes","no","no",-229
34706,"services","yes","no","no",96
34707,"technician","yes","yes","no",434
34708,"admin.","yes","yes","no",140
34709,"blue-collar","yes","yes","no",1357
34710,"blue-collar","yes","no","no",-390
34711,"technician","yes","no","no",-127
34712,"management","yes","no","no",0
34713,"management","yes","no","no",0
34714,"unemployed","yes","no","no",150
34715,"admin.","yes","no","no",597
34716,"technician","yes","no","no",7503
34717,"blue-collar","yes","no","no",0
34718,"entrepreneur","no","no","no",0
34719,"blue-collar","yes","no","no",0
34720,"management","yes","no","no",0
34721,"blue-collar","yes","no","no",127
34722,"management","yes","yes","no",505
34723,"technician","yes","yes","no",342
34724,"technician","yes","yes","no",41
34725,"technician","yes","no","no",414
34726,"blue-collar","yes","yes","no",-327
34727,"blue-collar","yes","no","no",225
34728,"blue-collar","yes","no","no",-7
34729,"services","yes","no","no",-311
34730,"technician","yes","no","no",5436
34731,"management","yes","no","no",107
34732,"technician","yes","no","no",645
34733,"blue-collar","yes","yes","no",8545
34734,"management","yes","no","no",523
34735,"retired","yes","no","no",1064
34736,"management","yes","no","no",94
34737,"management","yes","no","no",0
34738,"blue-collar","yes","no","no",1222
34739,"blue-collar","yes","no","no",235
34740,"blue-collar","yes","no","no",2039
34741,"services","yes","no","no",12
34742,"blue-collar","yes","no","no",5417
34743,"admin.","yes","no","no",404
34744,"management","yes","yes","yes",0
34745,"management","yes","yes","no",0
34746,"blue-collar","yes","no","no",6271
34747,"entrepreneur","yes","no","no",2396
34748,"admin.","yes","no","no",83
34749,"blue-collar","yes","no","no",649
34750,"blue-collar","yes","no","no",-234
34751,"management","yes","no","no",489
34752,"self-employed","yes","no","no",-488
34753,"management","no","no","no",3
34754,"technician","yes","no","no",22
34755,"admin.","yes","yes","no",710
34756,"services","yes","no","no",1438
34757,"technician","yes","no","no",0
34758,"services","yes","no","no",0
34759,"admin.","yes","no","no",589
34760,"blue-collar","yes","no","no",1558
34761,"admin.","yes","no","no",59
34762,"technician","yes","no","no",1784
34763,"admin.","yes","no","no",18
34764,"admin.","yes","no","no",1101
34765,"admin.","yes","yes","no",4917
34766,"blue-collar","yes","no","no",501
34767,"self-employed","yes","no","yes",-1083
34768,"technician","no","no","yes",3
34769,"technician","yes","no","no",122
34770,"management","yes","yes","no",0
34771,"blue-collar","yes","no","no",1857
34772,"blue-collar","yes","no","no",111
34773,"services","yes","yes","no",1783
34774,"entrepreneur","yes","no","no",81
34775,"management","no","no","no",4835
34776,"services","yes","no","no",0
34777,"services","yes","no","no",2
34778,"self-employed","yes","no","no",0
34779,"retired","yes","no","no",0
34780,"technician","yes","no","no",1019
34781,"management","yes","no","no",2559
34782,"management","yes","no","no",563
34783,"management","yes","no","no",275
34784,"entrepreneur","yes","no","no",650
34785,"services","yes","yes","no",-481
34786,"entrepreneur","yes","yes","no",0
34787,"blue-collar","yes","yes","no",1143
34788,"services","yes","no","no",864
34789,"admin.","yes","no","no",50
34790,"management","yes","no","no",532
34791,"technician","yes","yes","no",84
34792,"admin.","yes","no","no",788
34793,"blue-collar","yes","no","no",13
34794,"technician","yes","no","no",141
34795,"management","yes","no","no",16
34796,"management","yes","no","no",105
34797,"blue-collar","yes","yes","no",388
34798,"blue-collar","yes","no","no",41
34799,"management","yes","no","no",437
34800,"services","yes","no","no",182
34801,"entrepreneur","yes","yes","no",25204
34802,"technician","yes","no","no",616
34803,"management","yes","no","no",-606
34804,"services","yes","no","no",3033
34805,"admin.","yes","no","no",0
34806,"blue-collar","yes","no","no",-349
34807,"technician","yes","yes","no",53
34808,"admin.","yes","no","no",-150
34809,"management","yes","no","no",69
34810,"admin.","yes","no","no",281
34811,"entrepreneur","yes","yes","no",345
34812,"retired","no","no","no",102
34813,"blue-collar","yes","no","no",27
34814,"blue-collar","yes","no","no",53
34815,"management","yes","no","no",3
34816,"admin.","yes","yes","no",-101
34817,"blue-collar","yes","yes","no",1137
34818,"management","yes","no","no",1428
34819,"technician","yes","no","no",875
34820,"services","yes","no","no",238
34821,"services","yes","no","no",123
34822,"blue-collar","yes","no","no",181
34823,"admin.","yes","no","no",299
34824,"unemployed","yes","no","no",56
34825,"services","yes","no","no",302
34826,"blue-collar","yes","yes","no",380
34827,"management","yes","no","no",0
34828,"blue-collar","yes","no","no",0
34829,"blue-collar","yes","no","no",-441
34830,"blue-collar","yes","no","no",0
34831,"student","yes","no","no",471
34832,"technician","yes","no","no",8
34833,"management","yes","no","no",1850
34834,"admin.","no","no","no",96
34835,"management","yes","yes","no",415
34836,"blue-collar","yes","no","yes",15
34837,"admin.","yes","no","no",315
34838,"admin.","yes","no","no",2
34839,"self-employed","yes","no","no",311
34840,"entrepreneur","yes","no","no",392
34841,"blue-collar","yes","no","no",0
34842,"services","yes","no","no",-97
34843,"blue-collar","yes","yes","no",854
34844,"entrepreneur","yes","yes","no",860
34845,"technician","yes","no","no",6402
34846,"admin.","yes","no","no",786
34847,"entrepreneur","yes","no","no",0
34848,"management","no","yes","no",88
34849,"student","yes","no","no",2882
34850,"admin.","yes","no","no",245
34851,"blue-collar","yes","no","no",513
34852,"technician","yes","no","no",134
34853,"admin.","yes","yes","no",465
34854,"services","no","no","no",0
34855,"blue-collar","yes","no","no",1012
34856,"admin.","yes","no","yes",-18
34857,"entrepreneur","yes","yes","no",54
34858,"blue-collar","yes","no","no",17946
34859,"services","yes","yes","no",281
34860,"admin.","yes","no","no",4902
34861,"management","yes","no","no",2218
34862,"management","yes","no","no",477
34863,"housemaid","yes","no","no",399
34864,"student","yes","no","no",505
34865,"blue-collar","yes","no","no",59
34866,"unemployed","yes","yes","no",9
34867,"unemployed","yes","no","no",9262
34868,"services","yes","no","no",3
34869,"management","yes","no","no",0
34870,"technician","yes","no","no",0
34871,"technician","yes","no","no",83
34872,"blue-collar","yes","no","no",60
34873,"services","yes","no","no",83
34874,"management","yes","yes","no",171
34875,"entrepreneur","yes","no","no",1481
34876,"services","yes","no","no",509
34877,"services","yes","yes","no",0
34878,"services","yes","no","no",78
34879,"admin.","yes","yes","no",-244
34880,"blue-collar","yes","no","no",1086
34881,"blue-collar","yes","no","no",-298
34882,"admin.","yes","no","no",1455
34883,"blue-collar","yes","no","no",714
34884,"admin.","yes","yes","no",2468
34885,"management","yes","no","no",-401
34886,"self-employed","yes","no","no",90
34887,"services","yes","no","no",1864
34888,"technician","yes","no","no",-15
34889,"technician","yes","no","no",516
34890,"services","yes","no","no",1016
34891,"self-employed","yes","no","no",106
34892,"unemployed","yes","no","no",209
34893,"entrepreneur","yes","no","no",0
34894,"blue-collar","yes","yes","no",0
34895,"management","yes","no","no",-473
34896,"admin.","yes","no","no",24
34897,"technician","yes","no","no",-380
34898,"blue-collar","yes","yes","no",1979
34899,"blue-collar","yes","no","no",751
34900,"technician","yes","no","no",-569
34901,"unemployed","yes","no","no",0
34902,"blue-collar","yes","no","no",0
